geneID,GeneName,Chrom,Strand,Start,End,GeneLength,BC_1_fpkm,BC_2_fpkm,BC_3_fpkm,BC_DOX_1_fpkm,BC_DOX_2_fpkm,BC_DOX_3_fpkm,GeneType,GeneDescription
ENSG00000230487,PSMG3-AS1,chr7,+,1609709,1629262,5701,0.357630046,0.533730895,0.503001209,1.157149687,0.922627552,0.944604704,lincRNA,PSMG3_antisense_RNA_1_(head_to_head)
ENSG00000230484,OR51A10P,chr11,-,5489716,5490652,937,0,0,0,0,0,0,pseudogene,olfactory_receptor_family_51_subfamily_A_member_10_pseudogene
ENSG00000176390,CRLF3,chr17,-,29096406,29151794,2957,11.13048577,11.12623375,10.48176938,11.68411241,12.32936441,11.70993491,protein_coding,cytokine_receptor-like_factor_3
ENSG00000188883,KLRG2,chr7,-,139137436,139168458,2197,0,0,0,0.016964351,0.018275788,0,protein_coding,killer_cell_lectin-like_receptor_subfamily_G_member_2
ENSG00000116016,EPAS1,chr2,+,46520806,46613836,5160,7.152582533,6.400592347,6.526969577,36.51226503,32.12152472,33.18195538,protein_coding,endothelial_PAS_domain_protein_1
ENSG00000249082,CTC-276P9.1,chr5,-,134374528,134375737,836,0.099543448,0.075827348,0,0,0,0,lincRNA,-
ENSG00000137409,MTCH1,chr6,-,36935917,36954074,2057,124.4431497,135.165695,133.3565106,126.5971032,123.0908695,118.0539148,protein_coding,mitochondrial_carrier_1
ENSG00000224236,MRRFP1,chrX,-,122249960,122251634,1675,0,0,0,0,0,0,pseudogene,mitochondrial_ribosome_recycling_factor_pseudogene_1
ENSG00000130755,GMFG,chr19,-,39818993,39833012,1028,0.080951675,0.061665042,0.059351144,0.036255525,0,0,protein_coding,glia_maturation_factor_gamma
ENSG00000069712,KIAA1107,chr1,+,92632542,92650280,4622,2.286613352,1.782976247,1.900880271,1.927237673,2.380273089,2.003573363,protein_coding,KIAA1107
ENSG00000105855,ITGB8,chr7,+,20370325,20450419,5573,0.194121333,0.136497391,0.043791837,0.300947533,0.187322726,0.198678561,protein_coding,integrin_beta_8
ENSG00000105856,HBP1,chr7,+,106809406,106842974,2829,14.1491739,13.31023256,13.15585566,23.84585749,24.08546635,25.72484181,protein_coding,HMG-box_transcription_factor_1
ENSG00000180660,MAB21L1,chr13,-,36047926,36050832,2907,0.014313437,0,0.041976592,0,0,0,protein_coding,mab-21-like_1_(C._elegans)
ENSG00000180662,RPL21P8,chr14,-,65934525,65935059,535,0,0,0,0,0,0,pseudogene,ribosomal_protein_L21_pseudogene_8
ENSG00000135632,SMYD5,chr2,+,73441350,73454365,2593,23.52450063,27.20976518,27.69466769,12.93621752,12.55811635,12.77146578,protein_coding,SMYD_family_member_5
ENSG00000135631,RAB11FIP5,chr2,-,73300510,73383849,4342,10.12917624,10.61394268,10.83394861,15.22758783,14.92519026,14.60488338,protein_coding,RAB11_family_interacting_protein_5_(class_I)
ENSG00000077458,FAM76B,chr11,-,95502106,95523573,3952,8.496607537,8.29288711,8.166969777,5.35671717,5.852099646,6.354786687,protein_coding,family_with_sequence_similarity_76_member_B
ENSG00000262953,EIF4A1P9,chr17,-,2489624,2491160,1207,0,0,0,0,0,0,pseudogene,eukaryotic_translation_initiation_factor_4A1_pseudogene_9
ENSG00000100399,CHADL,chr22,-,41625517,41636938,2533,1.002036646,0.976026397,0.818966127,1.059411355,1.062051992,1.033202673,protein_coding,chondroadherin-like
ENSG00000261018,LL09NC01-254D11.1,chr9,-,136476920,136498221,1990,0,0,0,0,0,0,antisense,-
ENSG00000253638,CTC-369M3.1,chr8,-,134404454,134404933,480,0,0,0,0,0,0,pseudogene,-
ENSG00000205955,HSP90AA5P,chr3,+,183833140,183835686,2192,0.056946845,0,0,0.051009142,0.018317475,0.068880783,pseudogene,heat_shock_protein_90kDa_alpha_(cytosolic)_class_A_member_5_pseudogene
ENSG00000123584,MAGEA9B,chrX,-,148663309,148669116,1814,0,0,0,0,0,0,protein_coding,melanoma_antigen_family_A_9B
ENSG00000167332,OR51E2,chr11,-,4701401,4719084,2781,0.224429132,0.113972785,0.175513776,0.080411392,0.057751752,0.054292224,protein_coding,olfactory_receptor_family_51_subfamily_E_member_2
ENSG00000040487,PQLC2,chr1,+,19638820,19655794,2153,5.817165575,6.124229419,6.489536282,9.22678702,9.417887822,8.906320372,protein_coding,PQ_loop_repeat_containing_2
ENSG00000204709,C6orf100,chr6,+,28911654,28912314,466,0,0,0,0.07998,0,0,protein_coding,chromosome_6_open_reading_frame_100
ENSG00000204703,OR2B3,chr6,-,29053985,29055090,1106,0,0,0,0,0,0,protein_coding,olfactory_receptor_family_2_subfamily_B_member_3
ENSG00000198721,ECI2,chr6,-,4115923,4135831,3870,3.687840374,5.143406263,4.398609933,4.247124003,4.21231881,4.408654859,protein_coding,enoyl-CoA_delta_isomerase_2
ENSG00000245317,CTC-241N9.1,chr5,+,179286013,179288283,1454,3.376809496,2.572288946,3.5248212,3.127251006,3.148086157,2.388372442,protein_coding,Uncharacterized_protein_
ENSG00000008056,SYN1,chrX,-,47431303,47479252,3203,0,0,0,0.023272357,0,0,protein_coding,synapsin_I
ENSG00000164751,PEX2,chr8,-,77892494,77913280,4386,11.8300556,11.41801503,12.3667433,10.69004001,11.24180129,11.53227,protein_coding,peroxisomal_biogenesis_factor_2
ENSG00000256713,PGA5,chr11,+,61008514,61018920,1519,0,0,0,0,0,0,protein_coding,pepsinogen_5_group_I_(pepsinogen_A)
ENSG00000160124,CCDC58,chr3,-,122078438,122102078,769,60.87165957,54.98340616,56.56989887,31.98783982,28.56058846,31.34920566,protein_coding,coiled-coil_domain_containing_58
ENSG00000231383,FGF12-AS1,chr3,+,191955826,192000886,580,0,0,0,0,0,0,antisense,FGF12_antisense_RNA_1
ENSG00000231382,NBPF21P,chr3,-,36657498,36678949,1451,0,0,0,0,0,0,pseudogene,neuroblastoma_breakpoint_family_member_21_pseudogene
ENSG00000231389,HLA-DPA1,chr6,-,33032346,33048552,5025,0,0,0,0,0,0,protein_coding,major_histocompatibility_complex_class_II_DP_alpha_1
ENSG00000198169,ZNF251,chr8,-,145946298,145981802,2807,4.936177641,4.290850019,5.021018015,4.912772216,4.849125793,5.074127669,protein_coding,zinc_finger_protein_251
ENSG00000175749,EIF3KP1,chr5,+,102368080,102368735,656,0.126857198,0,0,0,0,0,pseudogene,eukaryotic_translation_initiation_factor_3_subunit_K_pseudogene_1
ENSG00000179673,RPRML,chr17,-,45055523,45056614,1092,0,0,0,0,0,0,protein_coding,reprimo-like
ENSG00000236876,TMSB4XP1,chr1,-,42965876,42966067,192,0.433428761,0,0,0.194118125,0,0,pseudogene,thymosin_beta_4_X-linked_pseudogene_1
ENSG00000240068,RPL21P42,chr3,+,153741624,153742087,464,0,0,0,0,0,0,pseudogene,ribosomal_protein_L21_pseudogene_42
ENSG00000148225,WDR31,chr9,-,116075502,116102578,4878,2.200730536,1.910326873,1.938706715,1.635081084,1.695631943,1.537311372,protein_coding,WD_repeat_domain_31
ENSG00000172824,CES4A,chr16,+,67022492,67043661,3419,1.070958226,0.648934838,0.642429703,1.994891619,1.479713409,2.296375289,protein_coding,carboxylesterase_4A
ENSG00000266922,CTC-499B15.6,chr19,-,11836776,11841598,491,0.423718545,0.129107257,0.372788044,0.151815397,0.081775776,0,sense_intronic,-
ENSG00000116604,MEF2D,chr1,-,156433519,156470620,5965,6.480286779,6.089425482,5.963212957,9.06617883,8.824668674,9.357039557,protein_coding,myocyte_enhancer_factor_2D
ENSG00000130653,PNPLA7,chr9,-,140354404,140444986,5308,8.920728203,9.20779433,8.13812874,6.066666832,6.043966243,6.646675419,protein_coding,patatin-like_phospholipase_domain_containing_7
ENSG00000223595,LYPLA1P1,chr7,-,122870174,122870795,622,0,0,0,0,0,0,pseudogene,lysophospholipase_I_pseudogene_1
ENSG00000113387,SUB1,chr5,+,32531739,32604185,4273,49.82777374,48.14087222,50.76085453,32.5082669,32.83191182,32.48469073,protein_coding,SUB1_homolog_(S._cerevisiae)
ENSG00000169208,OR10G3,chr14,-,22037934,22038875,942,0,0,0,0,0,0,protein_coding,olfactory_receptor_family_10_subfamily_G_member_3
ENSG00000107833,NPM3,chr10,-,103541082,103543170,877,98.73279839,108.20675,111.7295784,34.33832322,35.39044842,32.13703465,protein_coding,nucleophosmin/nucleoplasmin_3
ENSG00000060303,RPS17P5,chr6,-,50824968,50825375,408,0,0,0,0,0,0,pseudogene,ribosomal_protein_S17_pseudogene_5
ENSG00000267188,CTC-512J12.4,chr19,-,44896603,44952640,574,0,0,0,0,0,0,processed_transcript,-
ENSG00000103647,CORO2B,chr15,+,68871308,69020145,3611,0.115228915,0,0.050689263,0.030964287,0.044477326,0.055750642,protein_coding,coronin_actin_binding_protein_2B
ENSG00000022556,NLRP2,chr19,+,55464498,55512510,3744,0,0,0,0,0.010724334,0.013442546,protein_coding,NLR_family_pyrin_domain_containing_2
ENSG00000076928,ARHGEF1,chr19,+,42387228,42434302,3439,23.81123262,23.33639011,23.08167561,22.1738329,21.7280305,23.8839056,protein_coding,Rho_guanine_nucleotide_exchange_factor_(GEF)_1
ENSG00000076924,XAB2,chr19,-,7684411,7694451,4555,18.08696793,18.9131219,17.8417749,14.85917781,13.3457707,13.70094968,protein_coding,XPA_binding_protein_2
ENSG00000188599,NPIPP1,chr16,-,15198178,15225458,2902,0.086028589,0.087376517,0.105122289,0.166960317,0.124523485,0.242799616,pseudogene,nuclear_pore_complex_interacting_protein_pseudogene_1
ENSG00000198793,MTOR,chr1,-,11166592,11322564,8677,14.12227491,14.33380698,14.6397392,10.76842167,10.52732349,10.04605745,protein_coding,mechanistic_target_of_rapamycin_(serine/threonine_kinase)
ENSG00000139428,MMAB,chr12,-,109993255,110011679,2725,19.17838764,19.05239345,19.16591115,15.22285023,15.08827583,14.46147605,protein_coding,methylmalonic_aciduria_(cobalamin_deficiency)_cblB_type
ENSG00000187026,KRTAP21-2,chr21,-,32119112,32119551,440,0,0,0,0,0,0,protein_coding,keratin_associated_protein_21-2
ENSG00000161681,SHANK1,chr19,-,51165084,51222707,6643,0,0,0.009184552,0.005610519,0,0,protein_coding,SH3_and_multiple_ankyrin_repeat_domains_1
ENSG00000138468,SENP7,chr3,-,101043049,101232085,4945,4.585842828,4.256022684,3.676818401,4.725726264,4.644467174,5.048155776,protein_coding,SUMO1/sentrin_specific_peptidase_7
ENSG00000267405,CTC-296K1.4,chr17,-,42872115,42875151,587,0,0,0,0,0,0,lincRNA,-
ENSG00000247596,TWF2,chr3,-,52262626,52273177,1619,8.943785085,10.21940957,10.13742475,13.65133617,14.08664765,12.99411782,protein_coding,twinfilin_actin-binding_protein_2
ENSG00000267760,CTC-565M22.1,chr19,-,31156181,31159554,554,0,0,0,0,0,0,lincRNA,-
ENSG00000268205,CTC-444N24.11,chr19,+,57815673,57819930,4258,3.371338791,3.200847248,3.725545769,4.16647339,5.054349827,4.538819736,lincRNA,-
ENSG00000253251,CTC-534A2.2,chr5,+,64920592,64926718,1766,1.602164753,1.364033522,1.140106582,1.287379095,1.295956193,0.82646538,protein_coding,CDNA_FLJ26957_fis_clone_SLV00486;_Uncharacterized_protein_
ENSG00000205246,RPSAP58,chr19,+,23945807,24010937,1397,11.82450748,13.97611472,14.15046842,11.68543869,10.6918461,12.14089944,protein_coding,ribosomal_protein_SA_pseudogene_58
ENSG00000117477,CCDC181,chr1,-,169364108,169429907,2035,0.020446762,0,0,0.091574152,0.138114664,0.098926569,protein_coding,coiled-coil_domain_containing_181
ENSG00000235890,TSPEAR-AS1,chr21,+,45926690,45935738,1388,2.248333631,1.689835402,1.318724276,2.846319945,2.198519343,2.864540669,antisense,TSPEAR_antisense_RNA_1
ENSG00000170523,KRT83,chr12,-,52708085,52715182,1875,0,0,0,0,0,0,protein_coding,keratin_83
ENSG00000083307,GRHL2,chr8,+,102504660,102681954,5239,15.20136177,14.83454458,15.48907401,16.40507504,15.50435305,15.17840217,protein_coding,grainyhead-like_2_(Drosophila)
ENSG00000267458,CTC-425F1.4,chr19,-,13054932,13055301,270,0,0,0,0,0,0,antisense,-
ENSG00000105402,NAPA,chr19,-,47990894,48018497,3898,21.38100298,22.279779,21.61593651,22.42168924,21.76525838,22.02695981,protein_coding,N-ethylmaleimide-sensitive_factor_attachment_protein_alpha
ENSG00000258864,CTC-554D6.1,chr5,+,112162910,112203279,694,0,0,0,0,0,0,protein_coding,-
ENSG00000172785,CBWD1,chr9,-,121041,188979,3652,17.43209651,14.66756719,15.68761909,6.541759556,6.959517096,6.945717811,protein_coding,COBW_domain_containing_1
ENSG00000238189,ENOX1-AS2,chr13,+,44032601,44033259,248,0,0,0,0,0,0,lincRNA,ENOX1_antisense_RNA_2
ENSG00000112992,NNT,chr5,+,43602794,43707507,6483,23.75374134,23.69242633,24.69505635,21.10452975,19.67647772,20.26974185,protein_coding,nicotinamide_nucleotide_transhydrogenase
ENSG00000223656,HMGB3P10,chr1,+,100163798,100164734,572,0,0,0,0,0.07019564,0,pseudogene,high_mobility_group_box_3_pseudogene_10
ENSG00000106244,PDAP1,chr7,-,98989671,99006452,2546,93.28558185,97.52755092,94.05967506,70.2667966,65.16405153,67.42806355,protein_coding,PDGFA_associated_protein_1
ENSG00000236809,SNX25P1,chr1,+,211590367,211591276,834,0,0,0,0.044689065,0.096287544,0.120692786,pseudogene,sorting_nexin_25_pseudogene_1
ENSG00000189037,DUSP21,chrX,+,44703249,44704130,882,0,0.071872634,0,0,0,0,protein_coding,dual_specificity_phosphatase_21
ENSG00000111641,NOP2,chr12,-,6666029,6677857,3038,29.0360176,29.15014926,30.88807039,20.31607838,19.57372371,20.82403454,protein_coding,NOP2_nucleolar_protein
ENSG00000111640,GAPDH,chr12,+,6643093,6647537,1875,1130.437688,1058.928151,991.3713822,1107.247301,1190.702093,1142.586632,protein_coding,glyceraldehyde-3-phosphate_dehydrogenase
ENSG00000103569,AQP9,chr15,+,58430368,58478110,3034,0,0,0,0,0,0,protein_coding,aquaporin_9
ENSG00000114030,KPNA1,chr3,-,122140796,122233792,6830,13.50622403,13.32802757,15.23091141,15.59038548,15.20246393,16.4471576,protein_coding,karyopherin_alpha_1_(importin_alpha_5)
ENSG00000156313,RPGR,chrX,-,38128416,38186817,4767,2.251974734,2.194173363,2.265428328,2.103170323,2.333139907,2.238247336,protein_coding,retinitis_pigmentosa_GTPase_regulator
ENSG00000012048,BRCA1,chr17,-,41196312,41322290,7114,10.53389079,10.6573558,10.56620565,3.36871623,3.533187109,3.466566905,protein_coding,breast_cancer_1_early_onset
ENSG00000229658,PABPC1P9,chr22,+,16904668,16906756,1612,0,0,0,0,0,0,pseudogene,poly(A)_binding_protein_cytoplasmic_1_pseudogene_9
ENSG00000182368,FAM27A,chr9,+,45727107,45728274,616,6.82228128,6.586146823,7.92376318,5.989930719,6.713711539,7.434949919,protein_coding,family_with_sequence_similarity_27_member_A
ENSG00000166526,ZNF3,chr7,-,99661656,99680171,3473,11.76510112,12.50310661,11.89340198,11.20374027,11.69989311,12.20182173,protein_coding,zinc_finger_protein_3
ENSG00000184789,OR4C10P,chr11,-,48453769,48454699,931,0,0,0,0,0,0,pseudogene,olfactory_receptor_family_4_subfamily_C_member_10_pseudogene
ENSG00000164967,RPP25L,chr9,-,34610483,34612101,1092,35.36016619,35.52719584,34.64106723,37.57785596,36.1073,32.63081993,protein_coding,ribonuclease_P/MRP_25kDa_subunit-like
ENSG00000103034,NDRG4,chr16,+,58496750,58547532,5116,0.455456024,0.408898531,0.46511065,0.18212803,0.227600718,0.334476607,protein_coding,NDRG_family_member_4
ENSG00000103037,SETD6,chr16,+,58549383,58554431,2769,11.16489949,11.65271093,11.92055626,7.039568673,6.307720862,5.85261941,protein_coding,SET_domain_containing_6
ENSG00000165388,ZNF488,chr10,+,48355024,48373866,3561,5.748864714,5.714328525,6.065316955,4.814521992,4.54400957,4.805342094,protein_coding,zinc_finger_protein_488
ENSG00000250025,CTC-359M8.1,chr5,-,145686661,145756526,582,0,0,0,0,0,0,antisense,-
ENSG00000211930,IGHD3-3,chr14,-,106380218,106380248,31,0,0,0,0,0,0,IG_D_gene,immunoglobulin_heavy_diversity_3-3
ENSG00000107651,SEC23IP,chr10,+,121652223,121702014,4656,23.59282329,23.39065235,24.83238626,36.21403704,33.85661138,35.02268241,protein_coding,SEC23_interacting_protein
ENSG00000164031,DNAJB14,chr4,-,100817405,100867883,6463,9.933921636,9.543569282,9.714119264,14.28430674,15.14005797,14.56991436,protein_coding,DnaJ_(Hsp40)_homolog_subfamily_B_member_14
ENSG00000042832,TG,chr8,+,133879203,134147147,8450,0.167421477,0.217557187,0.238275529,0.119089747,0.118792621,0.077429064,protein_coding,thyroglobulin
ENSG00000096717,SIRT1,chr10,+,69644427,69678147,4094,9.065796697,8.36138205,9.374001516,5.525965505,5.864885132,5.544291691,protein_coding,sirtuin_1
ENSG00000175658,DRD5P2,chr1,+,148900615,148903715,2012,0.103402488,0.094520373,0.030324541,0.074096779,0.099781078,0.150086158,pseudogene,dopamine_receptor_D5_pseudogene_2
ENSG00000166959,MS4A8,chr11,+,60467047,60483284,1353,0.03075326,0,0,0.055093393,0.118704822,0.074395997,protein_coding,membrane-spanning_4-domains_subfamily_A_member_8
ENSG00000271704,CTC-575C13.1,chr19,+,20462311,20462888,578,0,0,0,0,0,0,pseudogene,-
ENSG00000122035,RASL11A,chr13,+,27844464,27847827,1543,14.42702604,17.41935527,17.43792782,3.30919194,3.252746752,3.131285553,protein_coding,RAS-like_family_11_member_A
ENSG00000173548,SNX33,chr15,+,75940247,75954642,8008,3.959313279,4.14008989,4.259022709,6.497236428,6.4680268,6.599067975,protein_coding,sorting_nexin_33
ENSG00000174010,KLHL15,chrX,-,24001837,24045303,6272,3.27061805,2.971484211,3.249096643,2.662191431,2.643931304,2.599898107,protein_coding,kelch-like_family_member_15
ENSG00000250471,GMPSP1,chr4,+,8176148,8176726,579,0.143727672,0.547423689,0.316129412,0.128741555,0.069346988,0.08692382,pseudogene,guanine_monphosphate_synthetase_pseudogene_1
ENSG00000231154,MORF4L2-AS1,chrX,+,102942212,102946700,2086,0.079787461,0.121556401,0.146243951,0.089335283,0.115489662,0.096507942,processed_transcript,MORF4L2_antisense_RNA_1
ENSG00000170222,ADPRM,chr17,+,10600911,10614550,1277,10.03572561,7.346880305,8.313436107,6.479319472,9.369826123,7.251774537,protein_coding,ADP-ribose/CDP-alcohol_diphosphatase_manganese-dependent
ENSG00000171570,RAB4B-EGLN2,chr19,+,41284147,41314103,2554,0,0,0,0,0,0,protein_coding,RAB4B-EGLN2_readthrough_(non-protein_coding)
ENSG00000259389,H3F3AP1,chr15,-,40243576,40243909,334,0,0,0,0,0,0,pseudogene,H3_histone_family_3A_pseudogene_1
ENSG00000109794,FAM149A,chr4,+,187025573,187093821,2997,4.206732,5.224471406,4.96735611,2.885151073,2.867036324,3.022756262,protein_coding,family_with_sequence_similarity_149_member_A
ENSG00000068885,IFT80,chr3,-,159974774,160117668,4306,2.386777238,1.73716123,2.111224686,1.116562407,1.417345494,1.484386729,protein_coding,intraflagellar_transport_80_homolog_(Chlamydomonas)
ENSG00000136854,STXBP1,chr9,+,130374544,130457460,3909,12.87978636,11.48152917,12.06524196,12.52844041,12.60332273,13.41588775,protein_coding,syntaxin_binding_protein_1
ENSG00000172081,MOB3A,chr19,-,2071037,2096672,3391,12.20911686,12.82414655,11.64122553,20.61922611,19.13461514,20.17014565,protein_coding,MOB_kinase_activator_3A
ENSG00000258197,NKX2-2-AS1,chr20,+,21492085,21492947,638,0,0,0,0,0,0,antisense,NKX2-2_antisense_RNA_1
ENSG00000132394,EEFSEC,chr3,+,127872297,128127485,2228,9.748645458,9.673772656,10.18708584,6.356758712,6.776084659,7.002673449,protein_coding,eukaryotic_elongation_factor_selenocysteine-tRNA-specific
ENSG00000145390,USP53,chr4,+,120133742,120216672,6072,7.160996924,6.598078248,6.350494259,8.268051054,8.556746745,8.462746786,protein_coding,ubiquitin_specific_peptidase_53
ENSG00000133627,ACTR3B,chr7,+,152456834,152552463,5543,5.269642986,5.363646045,5.635692578,2.891284938,2.803317262,2.905510619,protein_coding,ARP3_actin-related_protein_3_homolog_B_(yeast)
ENSG00000101441,CST4,chr20,-,23666277,23669677,751,0,0,0,0,0,0,protein_coding,cystatin_S
ENSG00000137818,RPLP1,chr15,+,69745123,69748255,1962,756.6420228,750.4900877,747.9842627,643.0047137,611.9379665,608.4870751,protein_coding,ribosomal_protein_large_P1
ENSG00000233153,UBE2E2-AS1,chr3,-,23236561,23244069,499,0,0,0,0,0,0,antisense,UBE2E2_antisense_RNA_1_(head_to_head)
ENSG00000170647,TMEM133,chr11,+,100862811,100864663,1853,1.482031641,1.984196689,1.547549862,3.922170861,4.312050337,4.155596567,protein_coding,transmembrane_protein_133
ENSG00000150433,TMEM218,chr11,-,124966398,124981659,4547,7.210912453,7.138010016,7.460570689,3.975429913,3.94719638,3.962556246,protein_coding,transmembrane_protein_218
ENSG00000203785,SPRR2E,chr1,-,153065611,153078660,692,0,0,0,0,0,0,protein_coding,small_proline-rich_protein_2E
ENSG00000181374,CCL13,chr17,+,32683471,32685629,851,0,0,0,0,0,0,protein_coding,chemokine_(C-C_motif)_ligand_13
ENSG00000112812,PRSS16,chr6,+,27215480,27224403,3411,9.795413762,9.589591966,8.746803137,15.78895709,16.97421528,16.80580701,protein_coding,protease_serine_16_(thymus)
ENSG00000086758,HUWE1,chrX,-,53559057,53713673,14796,17.78428863,16.11783163,16.13982089,18.63534001,19.38124574,17.90560193,protein_coding,HECT_UBA_and_WWE_domain_containing_1_E3_ubiquitin_protein_ligase
ENSG00000260852,FBXL19-AS1,chr16,-,30930640,30934590,3951,1.379600127,1.299601295,1.266277922,3.301629463,3.516213476,3.13361361,antisense,FBXL19_antisense_RNA_1_(head_to_head)
ENSG00000269534,CTC-453G23.5,chr19,+,48621689,48630963,852,0.048837044,0.074403361,0,0,0,0.059071469,antisense,-
ENSG00000123500,COL10A1,chr6,-,116440086,116479910,3498,0.035685387,0,0.017442246,0,0,0.02877581,protein_coding,collagen_type_X_alpha_1
ENSG00000103154,NECAB2,chr16,+,84002237,84036381,2064,0.080637909,0.092139045,0.088681652,0.0902875,0.097267214,0.024384153,protein_coding,N-terminal_EF-hand_calcium_binding_protein_2
ENSG00000142515,KLK3,chr19,+,51358171,51364020,2702,0.246390295,0.469220305,0.632258824,0.082762428,0.104020482,0.055879599,protein_coding,kallikrein-related_peptidase_3
ENSG00000259043,BRD7P1,chr14,+,24218445,24220359,1915,0,0,0,0,0,0,pseudogene,bromodomain_containing_7_pseudogene_1
ENSG00000259040,BLOC1S5-TXNDC5,chr6,-,7881483,8064597,3030,0,0,0,0,0,0,protein_coding,BLOC1S5-TXNDC5_readthrough_(non-protein_coding)
ENSG00000115138,POMC,chr2,-,25383722,25391772,1426,0,0,0,0,0,0,protein_coding,proopiomelanocortin
ENSG00000229020,AKR7A2P1,chr1,+,113466045,113466959,915,0.090948986,0.138561012,0,0.040732984,0,0.220017013,pseudogene,aldo-keto_reductase_family_7_member_A2_pseudogene_1
ENSG00000229028,KRT223P,chr17,-,38873487,38878184,1292,0,0,0,0,0,0,pseudogene,keratin_223_pseudogene
ENSG00000178235,SLITRK1,chr13,-,84451344,84456528,5185,1.893878884,1.907251582,2.200468004,4.679501003,4.40625544,5.057155758,protein_coding,SLIT_and_NTRK-like_family_member_1
ENSG00000005381,MPO,chr17,-,56347217,56358296,3311,0.012566947,0.019145776,0,0,0,0.030401022,protein_coding,myeloperoxidase
ENSG00000251542,CTC-313D10.1,chr5,+,113911738,113915667,751,0,0,0,0,0,0,lincRNA,-
ENSG00000228861,RPL23AP12,chr21,+,40499494,40499966,473,0,0,0,0,0,0,pseudogene,ribosomal_protein_L23a_pseudogene_12
ENSG00000104537,ANXA13,chr8,-,124693034,124749647,1964,0.211859272,0.290491328,0.341722373,0.189769247,0.204439439,0.153754252,protein_coding,annexin_A13
ENSG00000197123,ZNF679,chr7,+,63688852,63727309,1567,0.265533893,0.485449878,0.428297857,0.237847352,0.17936397,0.321179909,protein_coding,zinc_finger_protein_679
ENSG00000161835,GRASP,chr12,+,52400724,52409673,1933,1.119335942,1.31177782,0.946916345,0.732687967,0.560838831,0.650916862,protein_coding,GRP1_(general_receptor_for_phosphoinositides_1)-associated_scaffold_protein
ENSG00000253563,NKX2-1-AS1,chr14,+,36988483,36992221,1775,0,0,0,0,0,0,antisense,NKX2-1_antisense_RNA_1
ENSG00000121898,CPXM2,chr10,-,125465723,125699783,3554,5.877264732,5.77909366,6.042928453,3.376803312,4.067159855,3.611105064,protein_coding,carboxypeptidase_X_(M14_family)_member_2
ENSG00000198690,FAN1,chr15,+,31196055,31235311,4999,4.869245695,5.287922293,5.565496555,4.331719363,4.417593168,4.399625065,protein_coding,FANCD2/FANCI-associated_nuclease_1
ENSG00000181135,ZNF707,chr8,+,144766622,144796068,3031,4.173271186,3.199909094,4.186967703,4.783337028,5.365068258,5.180671141,protein_coding,zinc_finger_protein_707
ENSG00000176746,MAGEB6,chrX,+,26210557,26213763,1949,0,0,0,0,0,0,protein_coding,melanoma_antigen_family_B_6
